c DIMACS syntax for problem in file: dat_files/blocks.dat
c 
c Reading file and encoding problem took: 0.123226 [s] 
c 
p cnf 	 304 	 18879 
1 0
2 0
3 0
4 0
-5 0
-6 0
-7 0
-8 0
-9 0
-10 0
-11 0
-12 0
-13 0
-14 0
-15 0
-16 0
-17 0
-18 0
-19 0
-20 0
301 0
302 0
303 0
304 0
-34 6 0
-34 -4 0
-34 8 0
-134 102 0
-134 110 0
-134 104 0
-134 -102 0
-134 106 0
-134 -104 0
-134 108 0
-234 202 0
-234 210 0
-234 204 0
-234 -202 0
-234 206 0
-234 -204 0
-234 208 0
-35 9 0
-35 4 0
-35 8 0
-35 -9 0
-35 11 0
-35 -8 0
-135 109 0
-135 104 0
-135 108 0
-135 -109 0
-135 111 0
-135 -108 0
-235 209 0
-235 204 0
-235 208 0
-235 -209 0
-235 211 0
-235 -208 0
-36 20 0
-36 12 0
-36 8 0
-36 -20 0
-36 -8 0
-136 120 0
-136 112 0
-136 108 0
-136 -120 0
-136 -108 0
-236 220 0
-236 212 0
-236 208 0
-236 -220 0
-236 -208 0
-37 16 0
-37 8 0
-37 4 0
-37 -16 0
-37 15 0
-37 -4 0
-137 116 0
-137 108 0
-137 104 0
-137 -116 0
-137 115 0
-137 -104 0
-237 216 0
-237 208 0
-237 204 0
-237 -216 0
-237 215 0
-237 -204 0
-38 17 0
-38 12 0
-38 -17 0
-38 18 0
-38 4 0
-138 117 0
-138 112 0
-138 -117 0
-138 118 0
-138 104 0
-238 217 0
-238 212 0
-238 -217 0
-238 218 0
-238 204 0
-39 20 0
-39 12 0
-39 10 0
-39 -20 0
-39 19 0
-39 -10 0
-39 8 0
-139 120 0
-139 112 0
-139 110 0
-139 -120 0
-139 119 0
-139 -110 0
-139 108 0
-239 220 0
-239 212 0
-239 210 0
-239 -220 0
-239 219 0
-239 -210 0
-239 208 0
-40 14 0
-40 10 0
-40 12 0
-40 -14 0
-40 13 0
-40 -12 0
-140 114 0
-140 110 0
-140 112 0
-140 -114 0
-140 113 0
-140 -112 0
-240 214 0
-240 210 0
-240 212 0
-240 -214 0
-240 213 0
-240 -212 0
-41 3 0
-41 8 0
-41 -3 0
-41 12 0
-141 103 0
-141 108 0
-141 -103 0
-141 112 0
-241 203 0
-241 208 0
-241 -203 0
-241 212 0
-42 19 0
-42 12 0
-42 8 0
-42 -19 0
-42 20 0
-42 -8 0
-42 10 0
-142 119 0
-142 112 0
-142 108 0
-142 -119 0
-142 120 0
-142 -108 0
-142 110 0
-242 219 0
-242 212 0
-242 208 0
-242 -219 0
-242 220 0
-242 -208 0
-242 210 0
-43 9 0
-43 4 0
-43 10 0
-43 -9 0
-43 1 0
-43 -10 0
-143 109 0
-143 104 0
-143 110 0
-143 -109 0
-143 101 0
-143 -110 0
-243 209 0
-243 204 0
-243 210 0
-243 -209 0
-243 201 0
-243 -210 0
-44 17 0
-44 12 0
-44 4 0
-44 -17 0
-44 -4 0
-144 117 0
-144 112 0
-144 104 0
-144 -117 0
-144 -104 0
-244 217 0
-244 212 0
-244 204 0
-244 -217 0
-244 -204 0
-45 17 0
-45 12 0
-45 10 0
-45 -17 0
-45 19 0
-45 -10 0
-45 4 0
-145 117 0
-145 112 0
-145 110 0
-145 -117 0
-145 119 0
-145 -110 0
-145 104 0
-245 217 0
-245 212 0
-245 210 0
-245 -217 0
-245 219 0
-245 -210 0
-245 204 0
-46 3 0
-46 8 0
-46 10 0
-46 -3 0
-46 5 0
-46 -10 0
-46 12 0
-146 103 0
-146 108 0
-146 110 0
-146 -103 0
-146 105 0
-146 -110 0
-146 112 0
-246 203 0
-246 208 0
-246 210 0
-246 -203 0
-246 205 0
-246 -210 0
-246 212 0
-47 2 0
-47 10 0
-47 12 0
-47 -2 0
-47 13 0
-47 -12 0
-47 8 0
-147 102 0
-147 110 0
-147 112 0
-147 -102 0
-147 113 0
-147 -112 0
-147 108 0
-247 202 0
-247 210 0
-247 212 0
-247 -202 0
-247 213 0
-247 -212 0
-247 208 0
-48 17 0
-48 12 0
-48 8 0
-48 -17 0
-48 20 0
-48 -8 0
-48 4 0
-148 117 0
-148 112 0
-148 108 0
-148 -117 0
-148 120 0
-148 -108 0
-148 104 0
-248 217 0
-248 212 0
-248 208 0
-248 -217 0
-248 220 0
-248 -208 0
-248 204 0
-49 18 0
-49 12 0
-49 4 0
-49 -18 0
-49 17 0
-49 -4 0
-149 118 0
-149 112 0
-149 104 0
-149 -118 0
-149 117 0
-149 -104 0
-249 218 0
-249 212 0
-249 204 0
-249 -218 0
-249 217 0
-249 -204 0
-50 11 0
-50 4 0
-50 12 0
-50 -11 0
-50 7 0
-50 -12 0
-50 8 0
-150 111 0
-150 104 0
-150 112 0
-150 -111 0
-150 107 0
-150 -112 0
-150 108 0
-250 211 0
-250 204 0
-250 212 0
-250 -211 0
-250 207 0
-250 -212 0
-250 208 0
-51 6 0
-51 10 0
-51 -6 0
-51 13 0
-51 4 0
-151 106 0
-151 110 0
-151 -106 0
-151 113 0
-151 104 0
-251 206 0
-251 210 0
-251 -206 0
-251 213 0
-251 204 0
-52 19 0
-52 12 0
-52 -19 0
-52 18 0
-52 10 0
-152 119 0
-152 112 0
-152 -119 0
-152 118 0
-152 110 0
-252 219 0
-252 212 0
-252 -219 0
-252 218 0
-252 210 0
-53 11 0
-53 4 0
-53 -11 0
-53 7 0
-53 8 0
-153 111 0
-153 104 0
-153 -111 0
-153 107 0
-153 108 0
-253 211 0
-253 204 0
-253 -211 0
-253 207 0
-253 208 0
-54 18 0
-54 12 0
-54 -18 0
-54 -12 0
-154 118 0
-154 112 0
-154 -118 0
-154 -112 0
-254 218 0
-254 212 0
-254 -218 0
-254 -212 0
-55 1 0
-55 4 0
-55 10 0
-55 -1 0
-55 -10 0
-155 101 0
-155 104 0
-155 110 0
-155 -101 0
-155 -110 0
-255 201 0
-255 204 0
-255 210 0
-255 -201 0
-255 -210 0
-56 7 0
-56 4 0
-56 -7 0
-56 9 0
-56 -4 0
-56 12 0
-156 107 0
-156 104 0
-156 -107 0
-156 109 0
-156 -104 0
-156 112 0
-256 207 0
-256 204 0
-256 -207 0
-256 209 0
-256 -204 0
-256 212 0
-57 5 0
-57 8 0
-57 4 0
-57 -5 0
-57 15 0
-57 -4 0
-57 10 0
-157 105 0
-157 108 0
-157 104 0
-157 -105 0
-157 115 0
-157 -104 0
-157 110 0
-257 205 0
-257 208 0
-257 204 0
-257 -205 0
-257 215 0
-257 -204 0
-257 210 0
-58 2 0
-58 10 0
-58 -2 0
-58 13 0
-58 8 0
-158 102 0
-158 110 0
-158 -102 0
-158 113 0
-158 108 0
-258 202 0
-258 210 0
-258 -202 0
-258 213 0
-258 208 0
-59 15 0
-59 8 0
-59 -15 0
-59 16 0
-59 -8 0
-59 4 0
-159 115 0
-159 108 0
-159 -115 0
-159 116 0
-159 -108 0
-159 104 0
-259 215 0
-259 208 0
-259 -215 0
-259 216 0
-259 -208 0
-259 204 0
-60 14 0
-60 10 0
-60 8 0
-60 -14 0
-60 2 0
-60 -8 0
-160 114 0
-160 110 0
-160 108 0
-160 -114 0
-160 102 0
-160 -108 0
-260 214 0
-260 210 0
-260 208 0
-260 -214 0
-260 202 0
-260 -208 0
-61 14 0
-61 10 0
-61 -14 0
-61 -10 0
-161 114 0
-161 110 0
-161 -114 0
-161 -110 0
-261 214 0
-261 210 0
-261 -214 0
-261 -210 0
-62 16 0
-62 8 0
-62 -16 0
-62 -8 0
-162 116 0
-162 108 0
-162 -116 0
-162 -108 0
-262 216 0
-262 208 0
-262 -216 0
-262 -208 0
-63 2 0
-63 10 0
-63 -2 0
-63 14 0
-63 -10 0
-63 8 0
-163 102 0
-163 110 0
-163 -102 0
-163 114 0
-163 -110 0
-163 108 0
-263 202 0
-263 210 0
-263 -202 0
-263 214 0
-263 -210 0
-263 208 0
-64 13 0
-64 10 0
-64 -13 0
-64 14 0
-64 -10 0
-64 12 0
-164 113 0
-164 110 0
-164 -113 0
-164 114 0
-164 -110 0
-164 112 0
-264 213 0
-264 210 0
-264 -213 0
-264 214 0
-264 -210 0
-264 212 0
-65 7 0
-65 4 0
-65 12 0
-65 -7 0
-65 -12 0
-165 107 0
-165 104 0
-165 112 0
-165 -107 0
-165 -112 0
-265 207 0
-265 204 0
-265 212 0
-265 -207 0
-265 -212 0
-66 17 0
-66 12 0
-66 -17 0
-66 18 0
-66 -12 0
-66 4 0
-166 117 0
-166 112 0
-166 -117 0
-166 118 0
-166 -112 0
-166 104 0
-266 217 0
-266 212 0
-266 -217 0
-266 218 0
-266 -212 0
-266 204 0
-67 5 0
-67 8 0
-67 -5 0
-67 3 0
-67 10 0
-167 105 0
-167 108 0
-167 -105 0
-167 103 0
-167 110 0
-267 205 0
-267 208 0
-267 -205 0
-267 203 0
-267 210 0
-68 15 0
-68 8 0
-68 -15 0
-68 3 0
-68 4 0
-168 115 0
-168 108 0
-168 -115 0
-168 103 0
-168 104 0
-268 215 0
-268 208 0
-268 -215 0
-268 203 0
-268 204 0
-69 16 0
-69 8 0
-69 10 0
-69 -16 0
-69 5 0
-69 -10 0
-169 116 0
-169 108 0
-169 110 0
-169 -116 0
-169 105 0
-169 -110 0
-269 216 0
-269 208 0
-269 210 0
-269 -216 0
-269 205 0
-269 -210 0
-70 6 0
-70 10 0
-70 -6 0
-70 14 0
-70 -10 0
-70 4 0
-170 106 0
-170 110 0
-170 -106 0
-170 114 0
-170 -110 0
-170 104 0
-270 206 0
-270 210 0
-270 -206 0
-270 214 0
-270 -210 0
-270 204 0
-71 6 0
-71 10 0
-71 12 0
-71 -6 0
-71 13 0
-71 -12 0
-71 4 0
-171 106 0
-171 110 0
-171 112 0
-171 -106 0
-171 113 0
-171 -112 0
-171 104 0
-271 206 0
-271 210 0
-271 212 0
-271 -206 0
-271 213 0
-271 -212 0
-271 204 0
-72 3 0
-72 8 0
-72 12 0
-72 -3 0
-72 -12 0
-172 103 0
-172 108 0
-172 112 0
-172 -103 0
-172 -112 0
-272 203 0
-272 208 0
-272 212 0
-272 -203 0
-272 -212 0
-73 15 0
-73 8 0
-73 12 0
-73 -15 0
-73 3 0
-73 -12 0
-73 4 0
-173 115 0
-173 108 0
-173 112 0
-173 -115 0
-173 103 0
-173 -112 0
-173 104 0
-273 215 0
-273 208 0
-273 212 0
-273 -215 0
-273 203 0
-273 -212 0
-273 204 0
-74 7 0
-74 4 0
-74 -7 0
-74 12 0
-174 107 0
-174 104 0
-174 -107 0
-174 112 0
-274 207 0
-274 204 0
-274 -207 0
-274 212 0
-75 13 0
-75 10 0
-75 -13 0
-75 12 0
-175 113 0
-175 110 0
-175 -113 0
-175 112 0
-275 213 0
-275 210 0
-275 -213 0
-275 212 0
-76 5 0
-76 8 0
-76 10 0
-76 -5 0
-76 -10 0
-176 105 0
-176 108 0
-176 110 0
-176 -105 0
-176 -110 0
-276 205 0
-276 208 0
-276 210 0
-276 -205 0
-276 -210 0
-77 6 0
-77 10 0
-77 8 0
-77 -6 0
-77 2 0
-77 -8 0
-77 4 0
-177 106 0
-177 110 0
-177 108 0
-177 -106 0
-177 102 0
-177 -108 0
-177 104 0
-277 206 0
-277 210 0
-277 208 0
-277 -206 0
-277 202 0
-277 -208 0
-277 204 0
-78 16 0
-78 8 0
-78 -16 0
-78 3 0
-178 116 0
-178 108 0
-178 -116 0
-178 103 0
-278 216 0
-278 208 0
-278 -216 0
-278 203 0
-79 20 0
-79 12 0
-79 -20 0
-79 18 0
-79 8 0
-179 120 0
-179 112 0
-179 -120 0
-179 118 0
-179 108 0
-279 220 0
-279 212 0
-279 -220 0
-279 218 0
-279 208 0
-80 9 0
-80 4 0
-80 -9 0
-80 7 0
-180 109 0
-180 104 0
-180 -109 0
-180 107 0
-280 209 0
-280 204 0
-280 -209 0
-280 207 0
-81 11 0
-81 4 0
-81 8 0
-81 -11 0
-81 -8 0
-181 111 0
-181 104 0
-181 108 0
-181 -111 0
-181 -108 0
-281 211 0
-281 204 0
-281 208 0
-281 -211 0
-281 -208 0
-82 14 0
-82 10 0
-82 -14 0
-82 13 0
-182 114 0
-182 110 0
-182 -114 0
-182 113 0
-282 214 0
-282 210 0
-282 -214 0
-282 213 0
-83 13 0
-83 10 0
-83 12 0
-83 -13 0
-83 -12 0
-183 113 0
-183 110 0
-183 112 0
-183 -113 0
-183 -112 0
-283 213 0
-283 210 0
-283 212 0
-283 -213 0
-283 -212 0
-84 16 0
-84 8 0
-84 12 0
-84 -16 0
-84 3 0
-84 -12 0
-184 116 0
-184 108 0
-184 112 0
-184 -116 0
-184 103 0
-184 -112 0
-284 216 0
-284 208 0
-284 212 0
-284 -216 0
-284 203 0
-284 -212 0
-85 19 0
-85 12 0
-85 4 0
-85 -19 0
-85 17 0
-85 -4 0
-85 10 0
-185 119 0
-185 112 0
-185 104 0
-185 -119 0
-185 117 0
-185 -104 0
-185 110 0
-285 219 0
-285 212 0
-285 204 0
-285 -219 0
-285 217 0
-285 -204 0
-285 210 0
-86 7 0
-86 4 0
-86 10 0
-86 -7 0
-86 1 0
-86 -10 0
-86 12 0
-186 107 0
-186 104 0
-186 110 0
-186 -107 0
-186 101 0
-186 -110 0
-186 112 0
-286 207 0
-286 204 0
-286 210 0
-286 -207 0
-286 201 0
-286 -210 0
-286 212 0
-87 18 0
-87 12 0
-87 10 0
-87 -18 0
-87 19 0
-87 -10 0
-187 118 0
-187 112 0
-187 110 0
-187 -118 0
-187 119 0
-187 -110 0
-287 218 0
-287 212 0
-287 210 0
-287 -218 0
-287 219 0
-287 -210 0
-88 9 0
-88 4 0
-88 12 0
-88 -9 0
-88 7 0
-88 -12 0
-188 109 0
-188 104 0
-188 112 0
-188 -109 0
-188 107 0
-188 -112 0
-288 209 0
-288 204 0
-288 212 0
-288 -209 0
-288 207 0
-288 -212 0
-89 9 0
-89 4 0
-89 -9 0
-89 -4 0
-189 109 0
-189 104 0
-189 -109 0
-189 -104 0
-289 209 0
-289 204 0
-289 -209 0
-289 -204 0
-90 11 0
-90 4 0
-90 10 0
-90 -11 0
-90 1 0
-90 -10 0
-90 8 0
-190 111 0
-190 104 0
-190 110 0
-190 -111 0
-190 101 0
-190 -110 0
-190 108 0
-290 211 0
-290 204 0
-290 210 0
-290 -211 0
-290 201 0
-290 -210 0
-290 208 0
-91 13 0
-91 10 0
-91 8 0
-91 -13 0
-91 2 0
-91 -8 0
-91 12 0
-191 113 0
-191 110 0
-191 108 0
-191 -113 0
-191 102 0
-191 -108 0
-191 112 0
-291 213 0
-291 210 0
-291 208 0
-291 -213 0
-291 202 0
-291 -208 0
-291 212 0
-92 15 0
-92 8 0
-92 4 0
-92 -15 0
-92 -4 0
-192 115 0
-192 108 0
-192 104 0
-192 -115 0
-192 -104 0
-292 215 0
-292 208 0
-292 204 0
-292 -215 0
-292 -204 0
-93 13 0
-93 10 0
-93 4 0
-93 -13 0
-93 6 0
-93 -4 0
-93 12 0
-193 113 0
-193 110 0
-193 104 0
-193 -113 0
-193 106 0
-193 -104 0
-193 112 0
-293 213 0
-293 210 0
-293 204 0
-293 -213 0
-293 206 0
-293 -204 0
-293 212 0
-94 18 0
-94 12 0
-94 8 0
-94 -18 0
-94 20 0
-94 -8 0
-194 118 0
-194 112 0
-194 108 0
-194 -118 0
-194 120 0
-194 -108 0
-294 218 0
-294 212 0
-294 208 0
-294 -218 0
-294 220 0
-294 -208 0
-95 15 0
-95 8 0
-95 10 0
-95 -15 0
-95 5 0
-95 -10 0
-95 4 0
-195 115 0
-195 108 0
-195 110 0
-195 -115 0
-195 105 0
-195 -110 0
-195 104 0
-295 215 0
-295 208 0
-295 210 0
-295 -215 0
-295 205 0
-295 -210 0
-295 204 0
-96 6 0
-96 10 0
-96 4 0
-96 -6 0
-96 -4 0
-196 106 0
-196 110 0
-196 104 0
-196 -106 0
-196 -104 0
-296 206 0
-296 210 0
-296 204 0
-296 -206 0
-296 -204 0
-97 1 0
-97 4 0
-97 8 0
-97 -1 0
-97 11 0
-97 -8 0
-97 10 0
-197 101 0
-197 104 0
-197 108 0
-197 -101 0
-197 111 0
-197 -108 0
-197 110 0
-297 201 0
-297 204 0
-297 208 0
-297 -201 0
-297 211 0
-297 -208 0
-297 210 0
-98 20 0
-98 12 0
-98 -20 0
-98 18 0
-98 -12 0
-98 8 0
-198 120 0
-198 112 0
-198 -120 0
-198 118 0
-198 -112 0
-198 108 0
-298 220 0
-298 212 0
-298 -220 0
-298 218 0
-298 -212 0
-298 208 0
-99 11 0
-99 4 0
-99 -11 0
-99 9 0
-99 -4 0
-99 8 0
-199 111 0
-199 104 0
-199 -111 0
-199 109 0
-199 -104 0
-199 108 0
-299 211 0
-299 204 0
-299 -211 0
-299 209 0
-299 -204 0
-299 208 0
-100 2 0
-100 10 0
-100 8 0
-100 -2 0
-100 -8 0
-200 102 0
-200 110 0
-200 108 0
-200 -102 0
-200 -108 0
-300 202 0
-300 210 0
-300 208 0
-300 -202 0
-300 -208 0
-21 -2 102 0
-21 -102 2 0
-121 -102 202 0
-121 -202 102 0
-221 -202 0
-221 202 0
-21 -3 103 0
-21 -103 3 0
-121 -103 203 0
-121 -203 103 0
-221 -203 0
-221 203 0
-21 -5 105 0
-21 -105 5 0
-121 -105 205 0
-121 -205 105 0
-221 -205 301 0
-221 -301 205 0
-21 -6 106 0
-21 -106 6 0
-121 -106 206 0
-121 -206 106 0
-221 -206 302 0
-221 -302 206 0
-21 -7 107 0
-21 -107 7 0
-121 -107 207 0
-121 -207 107 0
-221 -207 303 0
-221 -303 207 0
-21 -8 108 0
-21 -108 8 0
-121 -108 208 0
-121 -208 108 0
-221 -208 304 0
-221 -304 208 0
-21 -11 111 0
-21 -111 11 0
-121 -111 211 0
-121 -211 111 0
-221 -211 0
-221 211 0
-21 -12 112 0
-21 -112 12 0
-121 -112 212 0
-121 -212 112 0
-221 -212 0
-221 212 0
-21 -13 113 0
-21 -113 13 0
-121 -113 213 0
-121 -213 113 0
-221 -213 0
-221 213 0
-21 -14 114 0
-21 -114 14 0
-121 -114 214 0
-121 -214 114 0
-221 -214 0
-221 214 0
-21 -15 115 0
-21 -115 15 0
-121 -115 215 0
-121 -215 115 0
-221 -215 0
-221 215 0
-21 -16 116 0
-21 -116 16 0
-121 -116 216 0
-121 -216 116 0
-221 -216 0
-221 216 0
-21 -17 117 0
-21 -117 17 0
-121 -117 217 0
-121 -217 117 0
-221 -217 0
-221 217 0
-21 -18 118 0
-21 -118 18 0
-121 -118 218 0
-121 -218 118 0
-221 -218 0
-221 218 0
-21 -19 119 0
-21 -119 19 0
-121 -119 219 0
-121 -219 119 0
-221 -219 0
-221 219 0
-21 -20 120 0
-21 -120 20 0
-121 -120 220 0
-121 -220 120 0
-221 -220 0
-221 220 0
-22 -1 101 0
-22 -101 1 0
-122 -101 201 0
-122 -201 101 0
-222 -201 0
-222 201 0
-22 -2 102 0
-22 -102 2 0
-122 -102 202 0
-122 -202 102 0
-222 -202 0
-222 202 0
-22 -4 104 0
-22 -104 4 0
-122 -104 204 0
-122 -204 104 0
-222 -204 0
-222 204 0
-22 -5 105 0
-22 -105 5 0
-122 -105 205 0
-122 -205 105 0
-222 -205 301 0
-222 -301 205 0
-22 -6 106 0
-22 -106 6 0
-122 -106 206 0
-122 -206 106 0
-222 -206 302 0
-222 -302 206 0
-22 -7 107 0
-22 -107 7 0
-122 -107 207 0
-122 -207 107 0
-222 -207 303 0
-222 -303 207 0
-22 -9 109 0
-22 -109 9 0
-122 -109 209 0
-122 -209 109 0
-222 -209 0
-222 209 0
-22 -10 110 0
-22 -110 10 0
-122 -110 210 0
-122 -210 110 0
-222 -210 0
-222 210 0
-22 -11 111 0
-22 -111 11 0
-122 -111 211 0
-122 -211 111 0
-222 -211 0
-222 211 0
-22 -13 113 0
-22 -113 13 0
-122 -113 213 0
-122 -213 113 0
-222 -213 0
-222 213 0
-22 -14 114 0
-22 -114 14 0
-122 -114 214 0
-122 -214 114 0
-222 -214 0
-222 214 0
-22 -15 115 0
-22 -115 15 0
-122 -115 215 0
-122 -215 115 0
-222 -215 0
-222 215 0
-22 -17 117 0
-22 -117 17 0
-122 -117 217 0
-122 -217 117 0
-222 -217 0
-222 217 0
-22 -18 118 0
-22 -118 18 0
-122 -118 218 0
-122 -218 118 0
-222 -218 0
-222 218 0
-22 -19 119 0
-22 -119 19 0
-122 -119 219 0
-122 -219 119 0
-222 -219 0
-222 219 0
-22 -20 120 0
-22 -120 20 0
-122 -120 220 0
-122 -220 120 0
-222 -220 0
-222 220 0
-23 -1 101 0
-23 -101 1 0
-123 -101 201 0
-123 -201 101 0
-223 -201 0
-223 201 0
-23 -2 102 0
-23 -102 2 0
-123 -102 202 0
-123 -202 102 0
-223 -202 0
-223 202 0
-23 -3 103 0
-23 -103 3 0
-123 -103 203 0
-123 -203 103 0
-223 -203 0
-223 203 0
-23 -4 104 0
-23 -104 4 0
-123 -104 204 0
-123 -204 104 0
-223 -204 0
-223 204 0
-23 -5 105 0
-23 -105 5 0
-123 -105 205 0
-123 -205 105 0
-223 -205 301 0
-223 -301 205 0
-23 -6 106 0
-23 -106 6 0
-123 -106 206 0
-123 -206 106 0
-223 -206 302 0
-223 -302 206 0
-23 -7 107 0
-23 -107 7 0
-123 -107 207 0
-123 -207 107 0
-223 -207 303 0
-223 -303 207 0
-23 -8 108 0
-23 -108 8 0
-123 -108 208 0
-123 -208 108 0
-223 -208 304 0
-223 -304 208 0
-23 -9 109 0
-23 -109 9 0
-123 -109 209 0
-123 -209 109 0
-223 -209 0
-223 209 0
-23 -10 110 0
-23 -110 10 0
-123 -110 210 0
-123 -210 110 0
-223 -210 0
-223 210 0
-23 -11 111 0
-23 -111 11 0
-123 -111 211 0
-123 -211 111 0
-223 -211 0
-223 211 0
-23 -13 113 0
-23 -113 13 0
-123 -113 213 0
-123 -213 113 0
-223 -213 0
-223 213 0
-23 -14 114 0
-23 -114 14 0
-123 -114 214 0
-123 -214 114 0
-223 -214 0
-223 214 0
-23 -15 115 0
-23 -115 15 0
-123 -115 215 0
-123 -215 115 0
-223 -215 0
-223 215 0
-23 -16 116 0
-23 -116 16 0
-123 -116 216 0
-123 -216 116 0
-223 -216 0
-223 216 0
-23 -17 117 0
-23 -117 17 0
-123 -117 217 0
-123 -217 117 0
-223 -217 0
-223 217 0
-23 -19 119 0
-23 -119 19 0
-123 -119 219 0
-123 -219 119 0
-223 -219 0
-223 219 0
-23 -20 120 0
-23 -120 20 0
-123 -120 220 0
-123 -220 120 0
-223 -220 0
-223 220 0
-24 -1 101 0
-24 -101 1 0
-124 -101 201 0
-124 -201 101 0
-224 -201 0
-224 201 0
-24 -2 102 0
-24 -102 2 0
-124 -102 202 0
-124 -202 102 0
-224 -202 0
-224 202 0
-24 -3 103 0
-24 -103 3 0
-124 -103 203 0
-124 -203 103 0
-224 -203 0
-224 203 0
-24 -4 104 0
-24 -104 4 0
-124 -104 204 0
-124 -204 104 0
-224 -204 0
-224 204 0
-24 -6 106 0
-24 -106 6 0
-124 -106 206 0
-124 -206 106 0
-224 -206 302 0
-224 -302 206 0
-24 -7 107 0
-24 -107 7 0
-124 -107 207 0
-124 -207 107 0
-224 -207 303 0
-224 -303 207 0
-24 -9 109 0
-24 -109 9 0
-124 -109 209 0
-124 -209 109 0
-224 -209 0
-224 209 0
-24 -11 111 0
-24 -111 11 0
-124 -111 211 0
-124 -211 111 0
-224 -211 0
-224 211 0
-24 -12 112 0
-24 -112 12 0
-124 -112 212 0
-124 -212 112 0
-224 -212 0
-224 212 0
-24 -13 113 0
-24 -113 13 0
-124 -113 213 0
-124 -213 113 0
-224 -213 0
-224 213 0
-24 -14 114 0
-24 -114 14 0
-124 -114 214 0
-124 -214 114 0
-224 -214 0
-224 214 0
-24 -15 115 0
-24 -115 15 0
-124 -115 215 0
-124 -215 115 0
-224 -215 0
-224 215 0
-24 -17 117 0
-24 -117 17 0
-124 -117 217 0
-124 -217 117 0
-224 -217 0
-224 217 0
-24 -18 118 0
